,SIC,Horizontal,"CAR(-1, +1)","CAR(-2, +2)",Crossborder,Cash,Leverage,Acquiror size,Date (years)
0,5961,0,-0.001608,0.009858,0,0,0.456346,140.433,2013
1,5961,0,-0.01831,-0.034374,1,1,0.4521884,555.63,2008
2,5961,0,-0.00762,-0.015071,1,1,0.344419,426.282,2006
3,5961,0,0.2118406,0.1465369,1,1,0.3044112,330.046,2014
4,6020,0,0.0019367,0.04845,1,0,0.9189009,57.73,2013
5,6020,0,-0.019512,-0.022057,1,1,0.9031065,652.312,2007
6,6020,0,0.0188492,0.057028,1,0,0.8316243,154.01,2011
7,6020,0,-0.002123,0.0154827,1,0,0.8489321,215.324,2013
8,4888,0,0.0269168,0.0239124,0,0,0.5947922,20209.258,2015
9,4888,0,0.0093659,0.0264527,0,0,0.6059406,12665.924,2013
10,4888,0,0.0092969,-0.001534,1,0,0.5947922,73436.72,2015
11,4888,0,0.0236578,0.0414251,0,1,0.6329806,19902.4,2014
12,4888,0,-0.000514,0.0061797,0,0,0.5947922,20096.016,2015
13,4888,0,-0.058121,-0.078233,1,0,0.6111985,78746.306,2014
14,4888,0,-0.001124,0.0040052,1,0,0.5947707,46511.557,2013
15,4888,0,0.0142853,0.0078513,1,1,0.6059406,81107.2,2014
16,4888,0,-0.007253,0.0088833,1,0,0.6329806,75485.868,2014
17,6331,1,-0.052182,-0.060242,1,0,0.6675916,33.338,2010
18,2836,1,0.0763566,0.0260286,0,0,0.1877947,194.302,2014
19,3576,0,-0.047102,-0.005304,0,0,0.2660971,1911.601,2006
20,3559,0,-0.010882,-0.059937,1,0,0.3624569,819.884,2011
21,3559,0,0.0464205,0.0014103,1,0,0.2819917,182.585,2009
22,3559,0,0.0702226,0.0735706,1,0,0.288259,211.438,2009
23,3559,0,-0.008324,-0.003808,1,0,0.1290537,6175.298,2014
24,3559,0,0.0627085,0.1385532,1,0,0.4792461,1484.92,2012
25,3559,0,0.0393508,0.0437743,0,0,0.2869836,301.537,2010
26,3559,0,-0.012419,-0.016015,0,1,0.2936703,271.55,2010
27,3559,0,0.0551957,0.0470168,0,0,0.1547087,4787.936,2013
28,3559,0,0.0215931,-0.013289,0,1,0.1329215,4183.987,2014
29,3559,0,-0.001003,-0.004903,0,0,0.3694494,2628.403,2013
30,3559,0,-0.029441,0.0137471,1,0,0.3034049,333.004,2010
31,3559,0,-0.022762,-0.04928,1,0,0.2819917,167.879,2009
32,3559,0,0.0194398,0.0281365,0,0,0.1461189,3131.437,2015
33,3559,0,-0.010151,0.0254212,1,0,0.2869836,303.797,2010
34,3559,0,-0.049813,-0.016164,1,0,0.152043,6974.707,2013
35,3559,0,0.0310592,-0.13837,0,0,0.2660584,853.918,2011
36,3559,0,0.0348297,-0.029065,0,0,0.4792461,1210.403,2012
37,3559,0,-0.006947,0.0111847,1,0,0.152043,7747.619,2014
38,3559,0,0.0345602,0.1309377,1,1,0.3694494,2540.563,2013
39,3559,0,0.0485223,0.0818055,1,1,0.2520672,754.541,2011
40,3559,0,-0.009148,-0.018246,0,1,0.3926144,2169.575,2012
41,3559,0,0.1065727,0.1106066,0,0,0.2660584,805.468,2011
42,3559,0,0.0419731,0.0070614,1,0,0.1290537,6321.491,2014
43,3559,0,-0.026684,-0.041586,0,0,0.1290537,5253.07,2014
44,3559,0,-0.059621,-0.067985,1,0,0.1494404,7358.92,2014
45,3559,0,-0.043936,0.0169373,1,0,0.3034049,290.445,2010
46,3559,0,0.0239734,0.0782391,0,0,0.2869836,332.466,2010
47,3559,0,0.1090193,0.1239135,1,0,0.449671,1164.159,2012
48,3559,0,-0.050593,-0.135157,1,0,0.3624569,1040.208,2011
49,3559,0,0.0282896,0.3435213,1,0,0.3624569,683.471,2011
50,3559,0,0.0940311,0.1266587,1,0,0.2365141,2866.2,2013
51,3559,0,0.0124424,-0.008004,0,0,0.1494404,6971.087,2014
52,3559,0,0.0062898,-0.059172,1,1,0.1559921,6442.46,2014
53,3559,0,-0.027896,-0.055828,0,0,0.3624569,1070.617,2011
54,3559,0,0.0126212,0.0941928,0,0,0.3926144,2421.657,2012
55,3559,0,-0.042902,-0.071986,1,0,0.1547087,5000.304,2013
56,3559,0,-0.058203,0.0014607,1,0,0.2952813,1278.178,2011
57,3559,0,0.0213704,0.0214623,1,0,0.152043,8239.939,2013
58,3559,0,-0.006052,-0.00197,1,0,0.1547087,4802.161,2013
59,3559,0,0.0434688,-0.013941,1,0,0.4792461,1622.941,2012
60,3559,0,0.0020378,0.0405176,1,1,0.152043,7150.463,2013
61,3559,0,-0.065637,-0.064552,1,1,0.2520672,953.158,2011
62,3559,0,-0.030591,-0.00246,0,0,0.1329215,3583.415,2015
63,2670,0,-0.012305,-0.006152,0,0,0.5118532,58241.111,2010
64,2670,0,-0.021435,-0.071362,0,0,0.5580789,41189.247,2008
65,2670,0,-0.006872,-0.020435,1,0,0.4770571,55814.696,2006
66,2670,0,0.0077572,-0.003332,0,0,0.5497896,61130.321,2007
67,2670,0,0.0238756,0.0176041,0,0,0.5192543,57910.905,2007
68,2670,0,0.0195442,0.024291,1,0,0.4575155,67874.349,2011
69,2670,0,0.0144716,0.0354329,1,0,0.5495791,67564.181,2007
70,2670,0,0.0034243,0.0049937,0,0,0.4994736,62335.043,2010
71,2670,0,0.0019752,-0.005414,1,0,0.491556,60005.422,2006
72,2670,0,0.0102287,0.0005355,1,1,0.4994736,59910.415,2010
73,2670,0,-0.005536,0.0166296,0,0,0.5699943,52381.033,2009
74,2670,0,-0.009113,-0.016401,0,1,0.4994736,62192.416,2010
75,2670,0,0.0088574,0.0065867,1,1,0.4578234,57560.374,2012
76,2670,0,0.0535994,0.0590289,1,0,0.5833265,40899.212,2009
77,2670,0,-0.004781,0.0081917,1,0,0.5495791,68198.954,2007
78,2670,0,8.8415e-06,-0.012788,1,1,0.4770571,55656.517,2006
